obs,ExportacionDeAcero
1967M12, 13.500
1968M01,  2.400
1968M02,  5.400
1968M03, 36.100
1968M04,  8.400
1968M05, 13.800
1968M06, 11.900
1968M07,  5.600
1968M08, 11.600
1968M09,  3.300
1968M10, 33.300
1968M11, 17.100
1968M12, 20.700
1969M01,  6.600
1969M02, 14.300
1969M03,  7.800
1969M04, 12.800
1969M05,  7.000
1969M06,  8.100
1969M07,  9.900
1969M08, 11.500
1969M09, 33.500
1969M10, 20.700
1969M11, 16.000
1969M12, 51.600
1970M01, 14.100
1970M02,  9.800
1970M03, 31.600
1970M04, 24.400
1970M05, 22.700
1970M06, 20.800
1970M07, 14.600
1970M08, 31.300
1970M09, 35.400
1970M10, 63.600
1970M11, 35.300
1970M12, 26.000
1971M01, 28.700
1971M02, 47.900
1971M03, 26.500
1971M04, 83.700
1971M05,133.200
1971M06, 43.000
1971M07,299.600
1971M08,158.500
1971M09,  3.400
1971M10,111.900
1971M11,116.900
1971M12,131.900
1972M01, 95.700
1972M02, 65.300
1972M03, 56.800
1972M04,239.700
1972M05,190.400
1972M06,158.600
1972M07,289.300
1972M08,  3.600
1972M09,288.700
1972M10, 88.900
1972M11,212.200
1972M12,161.500
1973M01,179.600
1973M02,296.700
1973M03,166.400
1973M04,204.700
1973M05,195.600
1973M06,211.200
1973M07,154.200
1973M08, 18.500
1973M09,277.500
1973M10,182.000
1973M11,171.500
1973M12,146.100
1974M01,124.300
1974M02,107.400
1974M03,153.400
1974M04, 78.000
1974M05,120.700
1974M06, 70.000
1974M07, 77.000
1974M08, 24.700
1974M09, 23.100
1974M10,147.300
1974M11, 78.800
1974M12, 63.500
1975M01,102.500
1975M02, 83.500
1975M03, 92.500
1975M04, 97.100
1975M05,108.200
1975M06,129.000
1975M07,231.000
1975M08,197.000
1975M09,210.100
1975M10,262.000
1975M11,251.300
1975M12,290.200
1976M01,268.700
1976M02,293.900
1976M03,294.200
1976M04,256.400
1976M05,176.800
1976M06,359.600
1976M07,280.500
1976M08,266.300
1976M09,234.900
1976M10,257.800
1976M11,155.100
1976M12,390.100
1977M01,177.100
1977M02,329.600
1977M03,290.700
1977M04,239.000
1977M05,347.900
1977M06,236.300
1977M07,312.900
1977M08,123.800
1977M09,500.600
1977M10,259.800
1977M11,291.300
1977M12,409.700
1978M01,276.800
1978M02,551.400
1978M03,514.100
1978M04,492.200
1978M05,689.500
1978M06,426.500
1978M07,426.100
1978M08,462.100
1978M09,389.900
1978M10,344.100
1978M11,479.000
1978M12,401.900
1979M01,452.200
1979M02,456.400
1979M03,325.200
1979M04,406.900
1979M05,500.500
1979M06,510.900
1979M07,610.900
1979M08,146.400
1979M09,494.900
1979M10,386.500
1979M11,541.100
1979M12,734.800
1980M01,168.000
1980M02,700.000
1980M03,467.000
1980M04,364.000
1980M05,798.000
1980M06,830.000
1980M07,250.000
1980M08, 22.000
1980M09,151.000
1980M10,483.000
1980M11,629.000
1980M12     1065.000
1981M01,122.000
1981M02,734.000
1981M03,315.000
1981M04,211.000
1981M05,509.000
1981M06,727.000
1981M07,860.000
1981M08,585.000
1981M09,485.000
1981M10,304.000
1981M11,535.000
1981M12     1168.000
1982M01,480.000
1982M02,726.000
1982M03,525.000
1982M04,372.000
1982M05,390.000
1982M06,389.000
1982M07,936.000
1982M08,260.000
1982M09,621.000
1982M10,226.000
1982M11,817.000
1982M12,615.000
1983M01,300.300
1983M02,394.700
1983M03,783.000
1983M04,321.000
1983M05,765.000
1983M06,840.000
1983M07,513.000
1983M08,638.000
1983M09,835.900
1983M10,569.000
1983M11,730.000
1983M12,719.000
1984M01,740.000
1984M02,749.000
1984M03,608.000
1984M04,576.000
1984M05,967.000
1984M06,941.000
1984M07,697.300
1984M08,550.000
1984M09,624.000
1984M10,679.000
1984M11,647.000
1984M12,802.800
1985M01,603.200
1985M02,704.000
1985M03,786.000
1985M04,702.000
1985M05     1008.000
1985M06,795.000
1985M07     1204.000
1985M08,874.000
1985M09,542.000
1985M10,843.000
1985M11,839.000
1985M12     1141.000
1986M01,429.800
1986M02,531.700
1986M03,388.900
1986M04,564.000
1986M05,483.100
1986M06,652.000
1986M07,642.000
1986M08,524.000
1986M09,328.000
1986M10,616.000
1986M11,507.000
1986M12,751.000
1987M01,477.700
1987M02,442.900
1987M03,553.800
1987M04,747.200
1987M05,497.000
1987M06,414.000
1987M07,494.000
1987M08,381.000
1987M09,211.000
1987M10,274.000
1987M11,400.000
1987M12,478.000
1988M01,277.000
1988M02,376.000
1988M03,468.000
1988M04,312.000
1988M05,396.000
1988M06,335.000
1988M07,315.000
1988M08,264.000
1988M09,249.000
1988M10,234.000
1988M11,334.000
1988M12,334.000
1989M01,270.000
1989M02,304.000
1989M03,319.000
1989M04,353.000
1989M05,374.000
1989M06,315.000
1989M07,226.000
1989M08,260.000
1989M09,232.000
1989M10,296.000
1989M11,315.000
1989M12,315.000
1990M01,327.000
1990M02,237.000
1990M03,373.000
1990M04,361.000
1990M05,378.000
1990M06,355.000
1990M07,359.000
1990M08,267.000
1990M09,318.000
1990M10,375.000
1990M11,402.000
1990M12,384.000
1991M01,438.000
1991M02,348.000
1991M03,375.000
1991M04,398.000
1991M05,389.000
1991M06,356.000
1991M07,368.000
1991M08,387.000
1991M09,337.000
1991M10,572.000
1991M11,455.000
1991M12,329.000
1992M01,386.000
1992M02,361.000
1992M03,477.000
1992M04,411.000
1992M05,397.000
1992M06,380.000
1992M07,426.000
1992M08,293.000
1992M09,436.000
1992M10,417.000
1992M11,348.000
1992M12,351.000
1993M01,376.000
1993M02,386.000
1993M03,549.000
1993M04,589.000
1993M05,561.000
1993M06,560.000
1993M07,409.000
1993M08,374.000
1993M09,441.000
1993M10,463.000
1993M11,492.000
1993M12,476.000
1994M01,466.000
1994M02,561.000
1994M03,624.000
1994M04,516.000
1994M05,571.000
1994M06,588.000
1994M07,420.000
1994M08,362.000
1994M09,473.000
1994M10,486.000
1994M11,569.000
1994M12,348.000
1995M01,415.000
1995M02,402.000
1995M03,517.000
1995M04,366.000
1995M05,467.000
1995M06,488.000
1995M07,367.000
1995M08,281.000
1995M09,382.000
1995M10,449.000
1995M11,443.000
1995M12,348.000
1996M01,455.000
1996M02,383.000
1996M03,486.000
1996M04,484.000
1996M05,484.000
1996M06,490.000
1996M07,449.000
1996M08,322.000
1996M09,464.000
1996M10,559.000
1996M11,439.000
1996M12,448.000
1997M01,488.000
1997M02,349.000
1997M03,423.000
1997M04,554.000
1997M05,469.000
1997M06,515.000
1997M07,480.000
1997M08,292.000
1997M09,420.000
1997M10,651.000
1997M11,485.000
1997M12,404.000
1998M01,476.000
1998M02,426.000
1998M03,517.000
1998M04,554.000
1998M05,433.000
1998M06,478.000
1998M07,403.000
1998M08,261.000
1998M09,401.000
1998M10,485.000
1998M11,380.000
1998M12,429.000
1999M01,333.000
1999M02,403.000
1999M03,495.000
1999M04,455.000
1999M05,474.000
1999M06,494.000
1999M07,436.000
1999M08,362.000
1999M09,433.000
1999M10,582.000
1999M11,486.000
1999M12,454.000
2000M01,471.300
2000M02,516.000
2000M03,539.800
2000M04,490.500
2000M05,531.300
2000M06,514.400
2000M07,435.500
2000M08,460.600
2000M09,495.000
2000M10,583.100
2000M11,510.700
2000M12,563.000
2001M01,496.500
2001M02,511.500
2001M03,535.400
2001M04,481.400
2001M05,536.500
2001M06,508.900
2001M07,443.400
2001M08,317.100
2001M09,454.300
2001M10,590.400
2001M11,552.700
2001M12,437.300
2002M01,477.300
2002M02,499.300
2002M03,563.000
2002M04,564.100
2002M05,532.600
2002M06,522.700
2002M07,546.200
2002M08,407.900
2002M09,499.500
2002M10,646.200
2002M11,495.800
2002M12,478.200
2003M01,478.700
2003M02,502.000
2003M03,542.100
2003M04,554.600
2003M05,558.900
2003M06,467.600
2003M07,480.000
2003M08,364.200
2003M09,588.200
2003M10,663.900
2003M11,578.900
2003M12,579.100
2004M01,455.300
2004M02,431.300
2004M03,609.200
2004M04,595.900
2004M05,542.100
2004M06,609.700
2004M07,596.000
2004M08,368.000
2004M09,528.100
2004M10,586.400
2004M11,622.300
2004M12,491.300
2005M01,474.200
2005M02,573.800
2005M03,628.900
2005M04,557.700
2005M05,655.100
2005M06,529.900
2005M07,540.600
2005M08,400.500
2005M09,546.100
2005M10,551.600
2005M11,612.800
2005M12,503.700
2006M01,530.100
2006M02,507.600
2006M03,606.500
2006M04,539.200
2006M05,624.400
2006M06,628.900
2006M07,502.200
2006M08,467.600
2006M09,565.500
2006M10,635.200
2006M11,615.300
2006M12,534.200
2007M01,572.600
2007M02,616.800
2007M03,620.000
2007M04,624.200
2007M05,680.600
2007M06,703.200
2007M07,741.500
2007M08,503.000
2007M09,727.700
2007M10,662.200
2007M11,754.000
2007M12,564.000
2008M01,622.600
2008M02,650.900
2008M03,659.500
2008M04,868.700
2008M05,827.600
2008M06,867.200
2008M07,867.300
2008M08,701.500
2008M09,859.700
2008M10,853.600
2008M11,784.200
2008M12,713.400
2009M01,443.900
2009M02,589.700
2009M03,636.200
2009M04,847.900
2009M05,821.700
2009M06,776.900
2009M07,660.900
2009M08,578.800
2009M09,663.700
2009M10,714.700
2009M11,766.600
2009M12,668.600
2010M01,631.400
2010M02,686.700
2010M03,861.000
2010M04,930.900
2010M05,814.700
2010M06,902.600
2010M07,921.500
2010M08,645.800
2010M09,805.800
2010M10,934.900
2010M11,839.300
2010M12,721.100
2011M01,656.700
2011M02,845.000
2011M03     1190.800
2011M04,819.600
2011M05,818.100
2011M06,947.200
2011M07,743.200
2011M08,592.000
2011M09,735.300
2011M10,810.100
2011M11,869.200
2011M12,848.600
2012M01,659.500
2012M02,778.400
2012M03     1027.100
2012M04,692.900
2012M05,918.600
2012M06,787.900
2012M07,771.700
2012M08,602.400
2012M09,874.500
2012M10,972.300
2012M11,854.800
2012M12,717.600
2013M01,765.400
2013M02,780.200
2013M03,823.300
2013M04,880.400
2013M05,931.300
2013M06,831.500
2013M07,838.600
2013M08,555.800
2013M09,953.300
2013M10,903.700
2013M11,796.900
2013M12,815.100
2014M01,786.000
2014M02,757.600
2014M03,893.400
2014M04,895.500
2014M05,851.500
2014M06,792.500
2014M07,810.200
2014M08,562.600
2014M09,854.600
2014M10,965.500
2014M11,840.200
2014M12,820.900
2015M01,758.900
2015M02,766.600
2015M03,944.800
2015M04,841.600
2015M05,873.300
2015M06,867.000
2015M07,673.600
2015M08,520.200
2015M09,799.100
2015M10,998.100
2015M11,821.200
2015M12,765.500
2016M01,632.300
2016M02,777.200
2016M03,884.600
2016M04,939.400
2016M05,920.500
2016M06,779.600
2016M07,722.600
2016M08,690.800
2016M09,830.200
2016M10,814.100
2016M11,671.600
2016M12,659.000
2017M01,673.400
2017M02,663.200
2017M03,834.900
2017M04,642.000
2017M05,772.000
2017M06,796.900
2017M07,645.400
2017M08,537.800
2017M09,803.600
2017M10,780.500
2017M11,839.200
2017M12,774.600
